candidate_id,architecture,latent_dim,window_size,learning_rate,family,hidden_dims,dropout,beta_kl,branch_loss_weights,best_epoch,best_validation_score,validation_branch_weighted_loss,validation_common_reconstruction_loss,validation_market_loss,validation_sector_loss,validation_idio_loss,validation_kl_loss,validation_total_loss,n_parameters,training_time_seconds,n_train_windows,n_validation_windows,checkpoint,history_path,market_hidden,sector_hidden,idio_hidden,fusion_hidden
42,single_gru_large,24,20,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",47,0.8484244346618652,0.8484244346618652,0.8519595861434937,0.8409883379936218,0.8579248785972595,0.84635990858078,1.9327507019042969,0.850357174873352,344685,70.92373560002306,2398,24,..\models\vae\candidates\candidate_042.pt,..\reports\figures\vae\training_curves\candidate_042.csv,,,,
38,single_gru_large,16,20,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",38,0.8503260612487793,0.8503260612487793,0.8539307713508606,0.8427435755729675,0.8607476353645325,0.8474868535995483,2.0376994609832764,0.8523637652397156,339549,71.26369709998835,2398,24,..\models\vae\candidates\candidate_038.pt,..\reports\figures\vae\training_curves\candidate_038.csv,,,,
46,single_gru_large,32,20,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",36,0.8523889183998108,0.8523889183998108,0.8529376983642578,0.8512346744537354,0.8586382269859314,0.8472939133644104,1.744928002357483,0.8541338443756104,349821,71.00831320002908,2398,24,..\models\vae\candidates\candidate_046.pt,..\reports\figures\vae\training_curves\candidate_046.csv,,,,
26,single_gru_medium,24,20,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",39,0.8529599905014038,0.8529599905014038,0.852502167224884,0.8539229035377502,0.8577554225921631,0.8472015857696533,1.66561758518219,0.8546255826950073,213357,56.55500349996146,2398,24,..\models\vae\candidates\candidate_026.pt,..\reports\figures\vae\training_curves\candidate_026.csv,,,,
77,multibranch_medium,32,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8539069890975952,0.8539069890975952,0.8319034576416016,0.9001900553703308,0.8290411233901978,0.8324896693229675,2.285473108291626,0.8561924695968628,108541,42.81578940001782,2423,44,..\models\vae\candidates\candidate_077.pt,..\reports\figures\vae\training_curves\candidate_077.csv,[16],[64],[64],128.0
30,single_gru_medium,32,20,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",47,0.8542308211326599,0.8542308211326599,0.8524961471557617,0.8578794002532959,0.8596715927124023,0.8451412916183472,1.8078197240829468,0.8560386300086975,215933,56.921947499969974,2398,24,..\models\vae\candidates\candidate_030.pt,..\reports\figures\vae\training_curves\candidate_030.csv,,,,
22,single_gru_medium,16,20,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",43,0.8546262383460999,0.8546262383460999,0.856469452381134,0.8507489562034607,0.8647199869155884,0.8484097123146057,1.9219393730163574,0.8565481901168823,210781,55.90059299999848,2398,24,..\models\vae\candidates\candidate_022.pt,..\reports\figures\vae\training_curves\candidate_022.csv,,,,
34,single_gru_large,8,20,0.0005,single_branch,"[128, 128]",0.2,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",36,0.8550513982772827,0.8550513982772827,0.8566624522209167,0.8516625761985779,0.8651266098022461,0.8483648300170898,2.1056768894195557,0.8571570515632629,334413,140.5502298999927,2398,24,..\models\vae\candidates\candidate_034.pt,..\reports\figures\vae\training_curves\candidate_034.csv,,,,
18,single_gru_medium,8,20,0.0005,single_branch,"[128, 64]",0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",34,0.8562716245651245,0.8562716245651245,0.8620482683181763,0.8441208600997925,0.8746812343597412,0.8500127792358398,1.870168685913086,0.8581417798995972,208205,75.35643000004347,2398,24,..\models\vae\candidates\candidate_018.pt,..\reports\figures\vae\training_curves\candidate_018.csv,,,,
14,single_gru_small,32,20,0.0005,single_branch,[64],0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",48,0.8602733612060547,0.8602733612060547,0.8542781472206116,0.8728838562965393,0.8619755506515503,0.8459604978561401,2.3582956790924072,0.8626316785812378,51325,20.603942800022196,2398,24,..\models\vae\candidates\candidate_014.pt,..\reports\figures\vae\training_curves\candidate_014.csv,,,,
49,multibranch_small,8,15,0.0005,multi_branch,,0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.8614627122879028,0.8614627122879028,0.8413789868354797,0.9037075042724609,0.8436787724494934,0.8370017409324646,2.3558595180511475,0.8638185858726501,28749,31.61895650002407,2423,44,..\models\vae\candidates\candidate_049.pt,..\reports\figures\vae\training_curves\candidate_049.csv,[8],[32],[32],64.0
97,multibranch_idio_large,8,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",46,0.8653496503829956,0.8653496503829956,0.8404691815376282,0.9176843166351318,0.8382241129875183,0.8401404619216919,2.179888963699341,0.8675295114517212,248653,66.87432880001143,2423,44,..\models\vae\candidates\candidate_097.pt,..\reports\figures\vae\training_curves\candidate_097.csv,[16],[64],"[128, 64]",128.0
65,multibranch_medium,8,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",50,0.865811824798584,0.865811824798584,0.8394538760185242,0.9212542176246643,0.8378040194511414,0.838377058506012,2.0558512210845947,0.867867648601532,91981,41.40015319996746,2423,44,..\models\vae\candidates\candidate_065.pt,..\reports\figures\vae\training_curves\candidate_065.csv,[16],[64],[64],128.0
101,multibranch_idio_large,16,15,0.0005,multi_branch,,0.1,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",49,0.8664672374725342,0.8664672374725342,0.8352006673812866,0.9322348833084106,0.8323990106582642,0.8347678184509277,2.19964599609375,0.8686668872833252,254173,66.72151689999737,2423,44,..\models\vae\candidates\candidate_101.pt,..\reports\figures\vae\training_curves\candidate_101.csv,[16],[64],"[128, 64]",128.0
61,multibranch_small,32,15,0.0005,multi_branch,,0.0,0.001,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",49,0.8686881065368652,0.8686881065368652,0.838141143321991,0.9329420328140259,0.8386446237564087,0.8344776034355164,2.2658917903900146,0.8709539771080017,37053,30.118921199988108,2423,44,..\models\vae\candidates\candidate_061.pt,..\reports\figures\vae\training_curves\candidate_061.csv,[8],[32],[32],64.0
